127.0.0.1 - - [23/Jun/2022:22:41:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:36 +0900] "GET /spring/ HTTP/1.1" 200 3736
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:36 +0900] "GET /spring/resources/js/typeit.min.js HTTP/1.1" 200 7080
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:36 +0900] "GET /spring/resources/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:36 +0900] "GET /spring/resources/images/sitelogo.png HTTP/1.1" 200 40501
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:38 +0900] "GET /spring/home.do HTTP/1.1" 200 3770
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:38 +0900] "GET /spring/home.do HTTP/1.1" 200 3770
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:38 +0900] "GET /resources/js/jquery-3.6.0.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:46 +0900] "POST /spring/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:46 +0900] "GET /spring/home.do HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:46 +0900] "GET /spring/topList.bo HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:51 +0900] "GET /spring/topList.bo HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:41:56 +0900] "GET /spring/topList.bo HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:42:01 +0900] "GET /spring/topList.bo HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:42:02 +0900] "GET /spring/blist.bo HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:42:04 +0900] "GET /spring/bdetail.bo?bId=22&page=1 HTTP/1.1" 200 5687
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:42:04 +0900] "GET /spring/rList.bo?bId=22 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:42:08 +0900] "GET /spring/bdetail.bo?bId=21&page=1 HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:42:08 +0900] "GET /spring/rList.bo?bId=21 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [23/Jun/2022:22:42:09 +0900] "POST /spring/bupView.bo HTTP/1.1" 200 3577
